Date,Time,Temperature,Humidity
1/24/2022,20:15:26,-1766.20°F,-999.00%
1/24/2022,20:15:29,-1766.20°F,-999.00%
1/24/2022,20:15:32,73.04°F,26.40%
1/24/2022,20:15:35,72.86°F,26.60%
1/24/2022,20:15:38,73.04°F,26.60%
1/24/2022,20:15:41,72.86°F,26.60%
1/24/2022,20:15:44,73.04°F,26.70%
1/24/2022,20:15:47,73.04°F,26.60%
1/24/2022,20:15:50,72.86°F,26.60%
1/24/2022,20:15:53,73.04°F,26.60%
,,,
1/24/2022,21:00:01,-1766.20°F,-999.00%
1/24/2022,21:00:04,-1766.20°F,-999.00%
1/24/2022,21:00:07,72.50°F,24.90%
1/24/2022,21:00:10,72.50°F,25.10%
1/24/2022,21:00:13,72.32°F,25.00%
1/24/2022,21:00:16,72.32°F,25.10%
1/24/2022,21:00:19,72.50°F,25.10%
1/24/2022,21:00:22,72.32°F,25.00%
1/24/2022,21:00:25,72.32°F,25.10%
1/24/2022,21:00:28,72.32°F,25.10%
,,,
1/24/2022,22:00:01,-1766.20°F,-999.00%
1/24/2022,22:00:04,-1766.20°F,-999.00%
1/24/2022,22:00:07,72.14°F,25.60%
1/24/2022,22:00:10,71.96°F,25.90%
1/24/2022,22:00:13,71.96°F,25.80%
1/24/2022,22:00:16,71.96°F,25.90%
1/24/2022,22:00:19,71.96°F,25.80%
1/24/2022,22:00:22,71.96°F,25.80%
1/24/2022,22:00:25,71.96°F,25.90%
1/24/2022,22:00:28,71.96°F,25.90%
,,,
1/24/2022,23:00:01,-1766.20°F,-999.00%
1/24/2022,23:00:04,-1766.20°F,-999.00%
1/24/2022,23:00:07,71.96°F,26.30%
1/24/2022,23:00:10,71.78°F,26.50%
1/24/2022,23:00:13,71.96°F,26.50%
1/24/2022,23:00:16,71.96°F,26.50%
1/24/2022,23:00:19,71.78°F,26.50%
1/24/2022,23:00:22,71.96°F,26.50%
1/24/2022,23:00:25,71.96°F,26.50%
1/24/2022,23:00:28,71.78°F,26.50%
,,,
1/25/2022,0:00:02,-1766.20°F,-999.00%
1/25/2022,0:00:05,-1766.20°F,-999.00%
1/25/2022,0:00:08,71.78°F,27.10%
1/25/2022,0:00:11,71.78°F,27.40%
1/25/2022,0:00:14,71.60°F,27.30%
1/25/2022,0:00:17,71.60°F,27.40%
1/25/2022,0:00:20,71.60°F,27.30%
1/25/2022,0:00:23,71.60°F,27.40%
1/25/2022,0:00:26,71.78°F,27.60%
1/25/2022,0:00:29,71.78°F,27.40%
,,,
1/25/2022,1:00:01,-1766.20°F,-999.00%
1/25/2022,1:00:04,-1766.20°F,-999.00%
1/25/2022,1:00:07,71.42°F,26.40%
1/25/2022,1:00:10,71.42°F,26.60%
1/25/2022,1:00:13,71.42°F,26.60%
1/25/2022,1:00:16,71.42°F,26.70%
1/25/2022,1:00:19,71.42°F,26.70%
1/25/2022,1:00:22,71.42°F,26.80%
1/25/2022,1:00:25,71.42°F,26.80%
1/25/2022,1:00:28,71.42°F,26.70%
,,,
1/25/2022,2:00:02,-1766.20°F,-999.00%
1/25/2022,2:00:05,-1766.20°F,-999.00%
1/25/2022,2:00:08,71.42°F,26.40%
1/25/2022,2:00:11,71.42°F,26.70%
1/25/2022,2:00:14,71.42°F,26.70%
1/25/2022,2:00:17,71.24°F,26.70%
1/25/2022,2:00:20,71.42°F,26.80%
1/25/2022,2:00:23,71.42°F,26.70%
1/25/2022,2:00:26,71.24°F,26.70%
1/25/2022,2:00:29,71.42°F,26.80%
,,,
1/25/2022,3:00:01,-1766.20°F,-999.00%
1/25/2022,3:00:04,-1766.20°F,-999.00%
1/25/2022,3:00:07,71.60°F,25.70%
1/25/2022,3:00:10,71.60°F,26.00%
1/25/2022,3:00:13,71.60°F,25.90%
1/25/2022,3:00:16,71.60°F,25.90%
1/25/2022,3:00:19,71.60°F,25.90%
1/25/2022,3:00:22,71.60°F,25.90%
1/25/2022,3:00:25,71.60°F,25.90%
1/25/2022,3:00:28,71.60°F,26.00%
,,,
1/25/2022,4:00:02,-1766.20°F,-999.00%
1/25/2022,4:00:05,-1766.20°F,-999.00%
1/25/2022,4:00:08,71.60°F,25.90%
1/25/2022,4:00:11,71.42°F,26.10%
1/25/2022,4:00:14,71.42°F,26.10%
1/25/2022,4:00:17,71.42°F,26.10%
1/25/2022,4:00:20,71.42°F,26.10%
1/25/2022,4:00:23,71.42°F,26.00%
1/25/2022,4:00:26,71.42°F,26.00%
1/25/2022,4:00:29,71.42°F,26.00%
,,,
1/25/2022,5:00:01,-1766.20°F,-999.00%
1/25/2022,5:00:04,-1766.20°F,-999.00%
1/25/2022,5:00:07,71.60°F,25.60%
1/25/2022,5:00:10,71.60°F,25.80%
1/25/2022,5:00:13,71.42°F,25.80%
1/25/2022,5:00:16,71.60°F,25.90%
1/25/2022,5:00:19,71.60°F,25.80%
1/25/2022,5:00:22,71.60°F,25.80%
1/25/2022,5:00:25,71.42°F,25.80%
1/25/2022,5:00:28,71.60°F,25.80%
,,,
1/25/2022,6:00:02,-1766.20°F,-999.00%
1/25/2022,6:00:05,-1766.20°F,-999.00%
1/25/2022,6:00:08,71.96°F,25.30%
1/25/2022,6:00:11,71.78°F,25.60%
1/25/2022,6:00:14,71.78°F,25.50%
1/25/2022,6:00:17,71.78°F,25.50%
1/25/2022,6:00:20,71.78°F,25.50%
1/25/2022,6:00:23,71.78°F,25.70%
1/25/2022,6:00:26,71.60°F,25.50%
1/25/2022,6:00:29,71.60°F,25.40%
,,,
1/25/2022,7:00:01,-1766.20°F,-999.00%
1/25/2022,7:00:04,-1766.20°F,-999.00%
1/25/2022,7:00:07,71.60°F,25.30%
1/25/2022,7:00:10,71.60°F,25.60%
1/25/2022,7:00:14,71.60°F,25.60%
1/25/2022,7:00:17,71.60°F,25.60%
1/25/2022,7:00:20,71.42°F,25.60%
1/25/2022,7:00:23,71.60°F,25.60%
1/25/2022,7:00:26,71.60°F,25.50%
1/25/2022,7:00:29,71.60°F,25.60%
,,,
1/25/2022,8:00:01,-1766.20°F,-999.00%
1/25/2022,8:00:04,-1766.20°F,-999.00%
1/25/2022,8:00:07,72.14°F,25.60%
1/25/2022,8:00:10,71.96°F,25.80%
1/25/2022,8:00:13,71.96°F,25.80%
1/25/2022,8:00:16,71.96°F,25.80%
1/25/2022,8:00:19,71.96°F,25.90%
1/25/2022,8:00:22,71.96°F,25.90%
1/25/2022,8:00:25,71.96°F,25.90%
1/25/2022,8:00:28,71.96°F,25.90%
,,,
1/25/2022,9:00:01,-1766.20°F,-999.00%
1/25/2022,9:00:04,-1766.20°F,-999.00%
1/25/2022,9:00:07,71.78°F,26.00%
1/25/2022,9:00:10,71.78°F,26.20%
1/25/2022,9:00:13,71.78°F,26.20%
1/25/2022,9:00:16,71.78°F,26.20%
1/25/2022,9:00:19,71.78°F,26.20%
1/25/2022,9:00:23,71.78°F,26.50%
1/25/2022,9:00:26,71.78°F,26.30%
1/25/2022,9:00:29,71.78°F,26.20%
,,,
1/25/2022,10:00:01,-1766.20°F,-999.00%
1/25/2022,10:00:04,-1766.20°F,-999.00%
1/25/2022,10:00:07,71.78°F,26.30%
1/25/2022,10:00:10,71.60°F,26.50%
1/25/2022,10:00:13,71.60°F,26.50%
1/25/2022,10:00:16,71.60°F,26.60%
1/25/2022,10:00:19,71.60°F,26.50%
1/25/2022,10:00:22,71.60°F,26.50%
1/25/2022,10:00:25,71.60°F,26.50%
1/25/2022,10:00:28,71.60°F,26.50%
,,,
1/25/2022,11:00:01,-1766.20°F,-999.00%
1/25/2022,11:00:04,-1766.20°F,-999.00%
1/25/2022,11:00:07,71.96°F,26.50%
1/25/2022,11:00:10,71.78°F,26.80%
1/25/2022,11:00:13,71.78°F,26.80%
1/25/2022,11:00:16,71.60°F,26.70%
1/25/2022,11:00:19,71.78°F,26.80%
1/25/2022,11:00:22,71.60°F,26.80%
1/25/2022,11:00:25,71.60°F,26.80%
1/25/2022,11:00:28,71.78°F,26.80%
,,,
1/25/2022,12:00:01,-1766.20°F,-999.00%
1/25/2022,12:00:04,-1766.20°F,-999.00%
1/25/2022,12:00:07,71.60°F,26.50%
1/25/2022,12:00:10,71.60°F,26.70%
1/25/2022,12:00:13,71.60°F,26.70%
1/25/2022,12:00:16,71.60°F,26.80%
1/25/2022,12:00:19,71.60°F,26.80%
1/25/2022,12:00:22,71.60°F,26.80%
1/25/2022,12:00:25,71.60°F,26.80%
1/25/2022,12:00:28,71.60°F,26.70%
,,,
1/25/2022,13:00:01,-1766.20°F,-999.00%
1/25/2022,13:00:04,-1766.20°F,-999.00%
1/25/2022,13:00:07,72.32°F,27.00%
1/25/2022,13:00:10,72.14°F,27.20%
1/25/2022,13:00:13,72.14°F,27.30%
1/25/2022,13:00:16,72.14°F,27.20%
1/25/2022,13:00:19,72.14°F,27.30%
1/25/2022,13:00:22,72.14°F,27.30%
1/25/2022,13:00:25,72.14°F,27.30%
1/25/2022,13:00:28,72.14°F,27.30%
,,,
1/25/2022,14:00:01,-1766.20°F,-999.00%
1/25/2022,14:00:04,-1766.20°F,-999.00%
1/25/2022,14:00:07,71.96°F,27.00%
1/25/2022,14:00:10,71.96°F,27.30%
1/25/2022,14:00:13,71.96°F,27.20%
1/25/2022,14:00:16,71.96°F,27.20%
1/25/2022,14:00:19,71.96°F,27.20%
1/25/2022,14:00:22,71.96°F,27.20%
1/25/2022,14:00:25,71.96°F,27.20%
1/25/2022,14:00:28,71.96°F,27.20%
,,,
1/25/2022,15:00:01,-1766.20°F,-999.00%
1/25/2022,15:00:04,-1766.20°F,-999.00%
1/25/2022,15:00:07,72.14°F,26.90%
1/25/2022,15:00:10,71.96°F,27.10%
1/25/2022,15:00:13,71.96°F,27.10%
1/25/2022,15:00:16,71.96°F,27.10%
1/25/2022,15:00:19,71.96°F,27.10%
1/25/2022,15:00:22,71.96°F,27.10%
1/25/2022,15:00:25,71.96°F,27.10%
1/25/2022,15:00:28,71.96°F,27.10%
,,,
1/25/2022,16:00:01,-1766.20°F,-999.00%
1/25/2022,16:00:04,-1766.20°F,-999.00%
1/25/2022,16:00:07,73.22°F,25.90%
1/25/2022,16:00:10,73.04°F,26.20%
1/25/2022,16:00:13,73.04°F,26.20%
1/25/2022,16:00:16,73.04°F,26.20%
1/25/2022,16:00:19,73.04°F,26.20%
1/25/2022,16:00:22,73.04°F,26.30%
1/25/2022,16:00:25,73.04°F,26.20%
1/25/2022,16:00:28,73.04°F,26.20%
,,,
1/25/2022,17:00:01,-1766.20°F,-999.00%
1/25/2022,17:00:04,-1766.20°F,-999.00%
1/25/2022,17:00:07,72.32°F,26.20%
1/25/2022,17:00:10,72.32°F,26.40%
1/25/2022,17:00:13,72.14°F,26.40%
1/25/2022,17:00:16,72.32°F,26.40%
1/25/2022,17:00:19,72.14°F,26.50%
1/25/2022,17:00:22,72.14°F,26.50%
1/25/2022,17:00:25,72.14°F,26.40%
1/25/2022,17:00:28,72.14°F,26.40%
,,,
1/25/2022,18:00:01,-1766.20°F,-999.00%
1/25/2022,18:00:04,-1766.20°F,-999.00%
1/25/2022,18:00:07,73.04°F,27.00%
1/25/2022,18:00:10,72.86°F,27.20%
1/25/2022,18:00:13,72.86°F,27.20%
1/25/2022,18:00:16,72.86°F,25.90%
1/25/2022,18:00:19,72.86°F,27.20%
1/25/2022,18:00:22,72.68°F,27.20%
1/25/2022,18:00:25,72.86°F,27.30%
1/25/2022,18:00:28,72.86°F,27.50%
,,,
1/25/2022,19:00:01,-1766.20°F,-999.00%
1/25/2022,19:00:04,-1766.20°F,-999.00%
1/25/2022,19:00:07,73.40°F,28.50%
1/25/2022,19:00:10,73.22°F,28.70%
1/25/2022,19:00:13,73.22°F,28.70%
1/25/2022,19:00:16,73.22°F,28.70%
1/25/2022,19:00:19,73.22°F,28.70%
1/25/2022,19:00:22,73.22°F,28.80%
1/25/2022,19:00:25,73.22°F,28.80%
1/25/2022,19:00:28,73.22°F,28.80%
,,,
1/25/2022,20:00:01,-1766.20°F,-999.00%
1/25/2022,20:00:04,-1766.20°F,-999.00%
1/25/2022,20:00:07,73.58°F,26.20%
1/25/2022,20:00:10,73.58°F,26.50%
1/25/2022,20:00:13,73.58°F,26.50%
1/25/2022,20:00:16,73.58°F,26.50%
1/25/2022,20:00:19,73.58°F,26.50%
1/25/2022,20:00:22,73.58°F,26.50%
1/25/2022,20:00:25,73.58°F,26.50%
1/25/2022,20:00:28,73.58°F,26.50%
,,,
1/25/2022,21:00:01,-1766.20°F,-999.00%
1/25/2022,21:00:04,-1766.20°F,-999.00%
1/25/2022,21:00:07,72.86°F,27.90%
1/25/2022,21:00:10,72.86°F,28.10%
1/25/2022,21:00:13,72.86°F,28.10%
1/25/2022,21:00:16,72.86°F,28.10%
1/25/2022,21:00:19,72.86°F,28.10%
1/25/2022,21:00:22,72.86°F,28.10%
1/25/2022,21:00:25,72.86°F,28.10%
1/25/2022,21:00:28,72.86°F,28.10%
,,,
1/25/2022,22:00:02,-1766.20°F,-999.00%
1/25/2022,22:00:05,-1766.20°F,-999.00%
1/25/2022,22:00:08,72.50°F,27.40%
1/25/2022,22:00:11,72.32°F,27.70%
1/25/2022,22:00:14,72.32°F,27.70%
1/25/2022,22:00:17,72.32°F,27.60%
1/25/2022,22:00:20,72.32°F,27.70%
1/25/2022,22:00:23,72.32°F,27.70%
1/25/2022,22:00:26,72.32°F,27.70%
1/25/2022,22:00:29,72.32°F,27.70%
,,,
1/25/2022,23:00:01,-1766.20°F,-999.00%
1/25/2022,23:00:04,-1766.20°F,-999.00%
1/25/2022,23:00:07,72.14°F,26.90%
1/25/2022,23:00:10,71.96°F,27.10%
1/25/2022,23:00:13,71.96°F,27.10%
1/25/2022,23:00:16,71.96°F,27.10%
1/25/2022,23:00:19,71.96°F,27.10%
1/25/2022,23:00:22,71.96°F,27.10%
1/25/2022,23:00:25,71.96°F,27.10%
1/25/2022,23:00:28,71.96°F,27.10%
,,,
1/26/2022,0:00:02,-1766.20°F,-999.00%
1/26/2022,0:00:05,-1766.20°F,-999.00%
1/26/2022,0:00:08,71.96°F,25.50%
1/26/2022,0:00:11,71.78°F,25.70%
1/26/2022,0:00:14,71.96°F,25.80%
1/26/2022,0:00:17,71.78°F,25.80%
1/26/2022,0:00:20,71.78°F,25.80%
1/26/2022,0:00:23,71.78°F,25.80%
1/26/2022,0:00:26,71.78°F,25.80%
1/26/2022,0:00:29,71.78°F,25.80%
,,,
1/26/2022,1:00:01,-1766.20°F,-999.00%
1/26/2022,1:00:04,-1766.20°F,-999.00%
1/26/2022,1:00:07,71.78°F,24.50%
1/26/2022,1:00:10,71.78°F,24.80%
1/26/2022,1:00:13,71.60°F,24.80%
1/26/2022,1:00:16,71.60°F,24.70%
1/26/2022,1:00:19,71.60°F,24.70%
1/26/2022,1:00:22,71.78°F,24.80%
1/26/2022,1:00:25,71.78°F,24.70%
1/26/2022,1:00:28,71.60°F,24.70%
,,,
1/26/2022,2:00:02,-1766.20°F,-999.00%
1/26/2022,2:00:05,-1766.20°F,-999.00%
1/26/2022,2:00:08,71.42°F,23.70%
1/26/2022,2:00:11,71.42°F,23.90%
1/26/2022,2:00:14,71.42°F,23.90%
1/26/2022,2:00:17,71.42°F,23.90%
1/26/2022,2:00:20,71.42°F,24.00%
1/26/2022,2:00:23,71.42°F,23.90%
1/26/2022,2:00:26,71.42°F,24.00%
1/26/2022,2:00:29,71.42°F,23.90%
,,,
1/26/2022,3:00:01,-1766.20°F,-999.00%
